Region,X,Y,ImageHeight,ImageWidth
5,322.486432295878,1347.40759508793,2232,2249
5,322.944019796165,1351.45469614318,2232,2249
5,323.804833686584,1352.16210460961,2232,2249
5,323.896351186642,1352.97152482066,2232,2249
5,325.61797896748,1354.38634175354,2232,2249
5,325.709496467537,1355.19576196459,2232,2249
5,326.570310357956,1355.90317043102,2232,2249
5,327.339606748317,1355.80115868641,2232,2249
5,328.200420638736,1356.50856715285,2232,2249
5,331.277606200182,1356.10052017439,2232,2249
5,332.138420090601,1356.80792864083,2232,2249
5,332.229937590658,1357.61734885188,2232,2249
5,333.090751481077,1358.32475731832,2232,2249
5,333.273786481192,1359.94359774042,2232,2249
5,334.134600371611,1360.65100620685,2232,2249
5,333.456821481307,1361.56243816251,2232,2249
5,331.918228700584,1361.76646165174,2232,2249
5,332.284298700815,1365.00414249594,2232,2249
5,337.669373433344,1364.29006028365,2232,2249
5,337.486338433229,1362.67121986155,2232,2249
5,338.164117323533,1361.75978790589,2232,2249
5,337.981082323418,1360.14094748379,2232,2249
5,338.658861213721,1359.22951552813,2232,2249
5,340.197453994444,1359.0254920389,2232,2249
5,340.875232884748,1358.11406008324,2232,2249
5,340.509162884518,1354.87637923904,2232,2249
5,336.662680932711,1355.38643796211,2232,2249
5,335.801867042292,1354.67902949567,2232,2249
5,335.710349542235,1353.86960928462,2232,2249
5,333.127907870978,1351.74738388531,2232,2249
5,332.761837870748,1348.50970304111,2232,2249
5,334.795174541659,1345.77540717413,2232,2249
5,335.564470932021,1345.67339542951,2232,2249
5,338.95336538354,1341.1162356512,2232,2249
5,339.722661773901,1341.01422390659,2232,2249
5,341.078219554509,1339.19135999527,2232,2249
5,341.84751594487,1339.08934825066,2232,2249
5,344.558631506085,1335.44362042801,2232,2249
5,345.419445396504,1336.15102889444,2232,2249
5,346.243102897022,1343.43581079389,2232,2249
5,347.103916787441,1344.14321926032,2232,2249
5,348.842749288534,1359.52220327026,2232,2249
5,349.703563178953,1360.2296117367,2232,2249
5,350.710255679586,1369.13323405824,2232,2249
5,351.571069570005,1369.84064252468,2232,2249
5,352.028657070292,1373.88774357992,2232,2249
5,352.889470960711,1374.59515204636,2232,2249
5,353.713128461229,1381.8799339458,2232,2249
5,353.035349570925,1382.79136590147,2232,2249
5,353.126867070983,1383.60078611251,2232,2249
5,352.449088180679,1384.51221806818,2232,2249
5,353.089710681082,1390.17815954552,2232,2249
5,353.950524571501,1390.88556801196,2232,2249
5,354.042042071558,1391.69498822301,2232,2249
5,355.763669852396,1393.10980515588,2232,2249
5,356.221257352684,1397.15690621113,2232,2249
5,357.082071243103,1397.86431467756,2232,2249
5,357.265106243218,1399.48315509966,2232,2249
5,358.986734024055,1400.89797203254,2232,2249
5,362.833215975862,1400.38791330947,2232,2249
5,363.510994866166,1399.47648135381,2232,2249
5,363.419477366108,1398.66706114276,2232,2249
5,364.775035146716,1396.84419723144,2232,2249
5,365.544331537077,1396.74218548682,2232,2249
5,366.405145427496,1397.44959395326,2232,2249
5,367.174441817858,1397.34758220865,2232,2249
5,368.035255708277,1398.05499067508,2232,2249
5,366.679697927669,1399.87785458641,2232,2249
5,367.137285427957,1403.92495564166,2232,2249
5,368.858913208794,1405.33977257453,2232,2249
5,370.397505989517,1405.1357490853,2232,2249
5,371.258319879936,1405.84315755174,2232,2249
5,372.027616270297,1405.74114580713,2232,2249
5,374.610057941554,1407.86337120644,2232,2249
5,374.701575441611,1408.67279141749,2232,2249
5,375.56238933203,1409.38019988392,2232,2249
5,375.653906832088,1410.18962009497,2232,2249
5,377.375534612926,1411.60443702785,2232,2249
5,382.760609345455,1410.89035481556,2232,2249
5,382.669091845397,1410.08093460451,2232,2249
5,383.346870735701,1409.16950264884,2232,2249
5,382.980800735471,1405.93182180465,2232,2249
5,382.119986845052,1405.22441333821,2232,2249
5,381.936951844937,1403.60557291611,2232,2249
5,381.076137954518,1402.89816444968,2232,2249
5,380.343997954058,1396.42280276128,2232,2249
5,379.483184063639,1395.71539429485,2232,2249
5,379.300149063524,1394.09655387275,2232,2249
5,379.977927953828,1393.18512191708,2232,2249
