Region,X,Y,ImageHeight,ImageWidth,Image_Width,Image_Height
5,-2.95143037905604,250.010261094318,500,500,362.360426706671,390.544015450523
5,-2.76837146378122,250.156619972059,500,500,362.360426706671,390.544015450523
5,-2.59321415012652,251.663800835715,500,500,362.360426706671,390.544015450523
5,-2.41015523485171,251.810159713456,500,500,362.360426706671,390.544015450523
5,-2.04037868380253,254.991985981173,500,500,362.360426706671,390.544015450523
5,-1.85731976852772,255.138344858916,500,500,362.360426706671,390.544015450523
5,-1.64323860739387,256.980454803383,500,500,362.360426706671,390.544015450523
5,-1.46017969211945,257.126813681125,500,500,362.360426706671,390.544015450523
5,-1.36287007342222,257.964136383155,500,500,362.360426706671,390.544015450523
5,-1.1798111581474,258.110495260897,500,500,362.360426706671,390.544015450523
5,-1.00465384449271,259.617676124552,500,500,362.360426706671,390.544015450523
5,-1.14878891228837,259.806246327623,500,500,362.360426706671,390.544015450523
5,-1.12932698854901,259.973710868027,500,500,362.360426706671,390.544015450523
5,-1.27346205634468,260.162281071099,500,500,362.360426706671,390.544015450523
5,-1.13722859016871,261.334532853941,500,500,362.360426706671,390.544015450523
5,-0.954169674893901,261.480891731684,500,500,362.360426706671,390.544015450523
5,-0.934707751154534,261.64835627209,500,500,362.360426706671,390.544015450523
5,-0.568589920605305,261.941074027574,500,500,362.360426706671,390.544015450523
5,-0.471280301908063,262.778396729605,500,500,362.360426706671,390.544015450523
5,-0.288221386633246,262.924755607346,500,500,362.360426706671,390.544015450523
5,-0.249297539154526,263.259684688159,500,500,362.360426706671,390.544015450523
5,0.11682029139471,263.552402443646,500,500,362.360426706671,390.544015450523
5,0.93480524907072,263.446874130325,500,500,362.360426706671,390.544015450523
5,1.07894031686639,263.258303927256,500,500,362.360426706671,390.544015450523
5,1.05947839312704,263.09083938685,500,500,362.360426706671,390.544015450523
5,1.3477485287188,262.713698980711,500,500,362.360426706671,390.544015450523
5,1.51134552025384,262.692593318046,500,500,362.360426706671,390.544015450523
5,1.69440443552865,262.838952195789,500,500,362.360426706671,390.544015450523
5,1.85800142706369,262.817846533125,500,500,362.360426706671,390.544015450523
5,2.0410603423385,262.964205410867,500,500,362.360426706671,390.544015450523
5,1.75279020674675,263.341345817008,500,500,362.360426706671,390.544015450523
5,1.85009982544399,264.178668519038,500,500,362.360426706671,390.544015450523
5,2.2162176559932,264.471386274523,500,500,362.360426706671,390.544015450523
5,2.5434116390637,264.429174949194,500,500,362.360426706671,390.544015450523
5,2.72647055433852,264.575533826938,500,500,362.360426706671,390.544015450523
5,2.89006754587356,264.554428164274,500,500,362.360426706671,390.544015450523
5,3.43924429169761,264.993504797502,500,500,362.360426706671,390.544015450523
5,3.45870621543696,265.160969337908,500,500,362.360426706671,390.544015450523
5,3.64176513071178,265.307328215649,500,500,362.360426706671,390.544015450523
5,3.66122705445115,265.474792756055,500,500,362.360426706671,390.544015450523
5,4.02734488500037,265.767510511541,500,500,362.360426706671,390.544015450523
5,5.17252382574688,265.619770872895,500,500,362.360426706671,390.544015450523
5,5.15306190200754,265.452306332489,500,500,362.360426706671,390.544015450523
5,5.29719696980317,265.263736129418,500,500,362.360426706671,390.544015450523
5,5.2193492748453,264.593877967795,500,500,362.360426706671,390.544015450523
5,5.03629035957093,264.447519090051,500,500,362.360426706671,390.544015450523
5,4.99736651209174,264.112590009239,500,500,362.360426706671,390.544015450523
5,4.81430759681736,263.966231131498,500,500,362.360426706671,390.544015450523
5,4.65861220690164,262.626514808248,500,500,362.360426706671,390.544015450523
5,4.47555329162719,262.480155930507,500,500,362.360426706671,390.544015450523
5,4.43662944414808,262.145226849694,500,500,362.360426706671,390.544015450523
5,4.58076451194415,261.956656646623,500,500,362.360426706671,390.544015450523
5,4.56130258820437,261.789192106217,500,500,362.360426706671,390.544015450523
5,4.7054376560005,261.600621903147,500,500,362.360426706671,390.544015450523
5,4.51081841860596,259.925976499087,500,500,362.360426706671,390.544015450523
5,4.34722142707056,259.94708216175,500,500,362.360426706671,390.544015450523
5,4.16416251179611,259.800723284009,500,500,362.360426706671,390.544015450523
5,4.00056552026109,259.821828946672,500,500,362.360426706671,390.544015450523
5,3.81750660498627,259.675470068929,500,500,362.360426706671,390.544015450523
5,2.99952164731026,259.780998382249,500,500,362.360426706671,390.544015450523
5,2.81646273203584,259.634639504506,500,500,362.360426706671,390.544015450523
5,2.16207476589486,259.71906215516,500,500,362.360426706671,390.544015450523
5,1.97901585062004,259.572703277418,500,500,362.360426706671,390.544015450523
5,1.815418859085,259.593808940083,500,500,362.360426706671,390.544015450523
5,1.63235994381018,259.44745006234,500,500,362.360426706671,390.544015450523
5,1.61289802007082,259.279985521933,500,500,362.360426706671,390.544015450523
5,1.24678018952159,258.987267766449,500,500,362.360426706671,390.544015450523
5,1.22731826578183,258.819803226043,500,500,362.360426706671,390.544015450523
5,1.04425935050742,258.6734443483,500,500,362.360426706671,390.544015450523
5,1.00533550302828,258.338515267487,500,500,362.360426706671,390.544015450523
5,0.822276587753858,258.192156389746,500,500,362.360426706671,390.544015450523
5,0.763890816535771,257.689762768528,500,500,362.360426706671,390.544015450523
5,0.580831901260954,257.543403890784,500,500,362.360426706671,390.544015450523
5,0.522446130042443,257.041010269566,500,500,362.360426706671,390.544015450523
5,0.339387214768042,256.894651391825,500,500,362.360426706671,390.544015450523
5,0.281001443549538,256.392257770606,500,500,362.360426706671,390.544015450523
5,0.0979425282751194,256.245898892863,500,500,362.360426706671,390.544015450523
5,-0.0188290141614758,255.241111650428,500,500,362.360426706671,390.544015450523
5,-0.2018879294363,255.094752772684,500,500,362.360426706671,390.544015450523
5,-0.357583319351633,253.755036449437,500,500,362.360426706671,390.544015450523
5,-0.54064223462645,253.608677571694,500,500,362.360426706671,390.544015450523
5,-0.754723395760298,251.766567627227,500,500,362.360426706671,390.544015450523
5,-0.937782311034702,251.620208749484,500,500,362.360426706671,390.544015450523
5,-1.21024924338705,249.275705183798,500,500,362.360426706671,390.544015450523
5,-1.06611417559139,249.08713498073,500,500,362.360426706671,390.544015450523
5,-0.699996345041747,249.379852736213,500,500,362.360426706671,390.544015450523
5,-0.680534421302792,249.54731727662,500,500,362.360426706671,390.544015450523
5,-0.516937429767335,249.526211613956,500,500,362.360426706671,390.544015450523
