Region,X,Y
5,1664.19632424454,6595.77750176108
5,1666.55771176269,6615.58871418476
5,1670.99995543197,6619.05159272607
5,1671.4722329356,6623.01383521081
5,1680.35672027415,6629.93959229354
5,1680.82899777778,6633.90183477828
5,1685.27124144706,6637.36471331959
5,1689.2412076127,6636.86534937622
5,1693.68345128198,6640.32822791758
5,1709.56331594456,6638.33077214399
5,1714.00555961384,6641.79365068535
5,1714.47783711746,6645.75589317009
5,1718.92008078674,6649.21877171145
5,1719.864635794,6657.14325668093
5,1724.30687946328,6660.60613522224
5,1720.80919080127,6665.06774165035
5,1712.86925846998,6666.06646953715
5,1714.75836848451,6681.91543947609
5,1742.54813164402,6678.41989187238
5,1741.60357663675,6670.49540690291
5,1745.10126529877,6666.0338004748
5,1744.1567102915,6658.10931550533
5,1747.65439895351,6653.64770907722
5,1755.5943312848,6652.64898119042
5,1759.09201994681,6648.18737476231
5,1757.20290993229,6632.33840482337
5,1737.35307910407,6634.83522454033
5,1732.91083543479,6631.37234599897
5,1732.43855793116,6627.41010351423
5,1719.11182692333,6617.02146789019
5,1717.2227169088,6601.17249795124
5,1727.71578289484,6587.78767866691
5,1731.68574906049,6587.28831472349
5,1749.17419237055,6564.98028258289
5,1753.14415853619,6564.48091863952
5,1760.13953586022,6555.5577057833
5,1764.10950202586,6555.05834183992
5,1778.10025667391,6537.21191612744
5,1782.54250034319,6540.67479466875
5,1786.79299787587,6576.33497703138
5,1791.23524154515,6579.7978555727
5,1800.20851411415,6655.08046278264
5,1804.65075778343,6658.54334132401
5,1809.84581032338,6702.12800865606
5,1814.28805399265,6705.59088719743
5,1816.64944151081,6725.40209962106
5,1821.09168518009,6728.86497816242
5,1825.34218271277,6764.52516052501
5,1821.84449405076,6768.98676695316
5,1822.31677155439,6772.94900943785
5,1818.81908289238,6777.41061586601
5,1822.1250254178,6805.14631325912
5,1826.56726908708,6808.60919180048
5,1827.03954659071,6812.57143428522
5,1835.92403392926,6819.4971913679
5,1838.28542144742,6839.30840379158
5,1842.7276651167,6842.7712823329
5,1843.67222012396,6850.69576730237
5,1852.55670746251,6857.6215243851
5,1872.40653829073,6855.12470466813
5,1875.90422695274,6850.66309824002
5,1875.43194944911,6846.70085575529
5,1882.42732677314,6837.77764289907
5,1886.39729293878,6837.27827895564
5,1890.83953660806,6840.74115749701
5,1894.8095027737,6840.24179355363
5,1899.25174644298,6843.70467209495
5,1892.25636911895,6852.62788495122
5,1894.61775663711,6872.4390973749
5,1903.50224397566,6879.36485445758
5,1911.44217630695,6878.36612657078
5,1915.88441997623,6881.82900511215
5,1919.85438614187,6881.32964116877
5,1933.1811171497,6891.71827679282
5,1933.65339465333,6895.68051927755
5,1938.09563832261,6899.14339781887
5,1938.56791582624,6903.1056403036
5,1947.45240316479,6910.03139738633
5,1975.2421663243,6906.53584978262
5,1974.76988882067,6902.57360729788
5,1978.26757748268,6898.11200086973
5,1976.37846746815,6882.26303093083
5,1971.93622379888,6878.80015238946
5,1970.99166879161,6870.87566741999
5,1966.54942512234,6867.41278887868
5,1962.77120509328,6835.71484900078
5,1958.32896142401,6832.25197045947
5,1957.38440641674,6824.32748548999
5,1960.88209507876,6819.86587906184
5,1960.40981757512,6815.9036365771
5,1963.90750623714,6811.44203014899
5,1959.18473120082,6771.81960530167
5,1955.21476503517,6772.31896924504
5,1950.7725213659,6768.85609070373
5,1946.80255520026,6769.3554546471
5,1942.36031153098,6765.89257610574
5,1922.51048070276,6768.3893958227
5,1918.06823703349,6764.92651728134
5,1902.18837237091,6766.92397305488
5,1897.74612870163,6763.46109451352
5,1893.77616253599,6763.96045845694
5,1889.33391886671,6760.49757991558
5,1888.86164136308,6756.53533743084
5,1879.97715402453,6749.60958034816
5,1879.50487652089,6745.64733786342
5,1875.06263285162,6742.18445932206
5,1874.11807784435,6734.25997435259
5,1869.67583417508,6730.79709581127
5,1868.25900166419,6718.91036835706
5,1863.81675799491,6715.4474898157
5,1862.39992548401,6703.56076236149
5,1857.95768181474,6700.09788382018
5,1856.54084930384,6688.21115636596
5,1852.09860563457,6684.7482778246
5,1849.26494061278,6660.97482291623
5,1844.8226969435,6657.51194437487
5,1841.04447691445,6625.81400449702
5,1836.60223324517,6622.35112595566
5,1831.40718070522,6578.7664586236
5,1826.96493703595,6575.30358008224
5,1820.3530519851,6519.83218529597
5,1823.85074064711,6515.37057886787
5,1832.73522798567,6522.29633595054
5,1833.20750548929,6526.25857843528
5,1837.17747165494,6525.75921449191
5,1841.61971532422,6529.22209303322
5,1869.40947848373,6525.72654542956
5,1872.90716714574,6521.2649390014
5,1870.07350212395,6497.49148409303
5,1880.56656810999,6484.10666480865
5,1892.47646660692,6482.60857297848
5,1896.91871027619,6486.07145151985
5,1924.7084734357,6482.57590391614
5,1928.20616209771,6478.11429748803
5,1924.42794206866,6446.41635761013
5,1920.45797590302,6446.91572155356
5,1916.01573223374,6443.45284301219
5,1912.0457660681,6443.95220695557
5,1907.60352239882,6440.48932841425
5,1899.66359006753,6441.488056301
5,1895.22134639826,6438.02517775968
5,1875.37151557004,6440.5219974766
5,1870.92927190076,6437.05911893523
5,1862.98933956947,6438.05784682203
5,1858.5470959002,6434.59496828066
5,1846.63719740327,6436.09306011083
5,1842.19495373399,6432.63018156947
5,1822.34512290577,6435.12700128643
5,1804.57614822867,6421.27548712103
5,1804.10387072503,6417.31324463629
5,1795.21938338648,6410.38748755361
5,1794.74710588285,6406.42524506888
5,1790.30486221357,6402.96236652751
5,1789.83258470994,6399.00012404278
5,1785.39034104066,6395.53724550146
5,1784.91806353703,6391.57500301673
5,1776.03357619848,6384.649245934
5,1775.56129869485,6380.68700344926
5,1762.23456768702,6370.29836782522
5,1761.76229018339,6366.33612534048
5,1752.87780284484,6359.41036825781
5,1752.40552534121,6355.44812577307
5,1739.07879433338,6345.05949014903
5,1738.60651682975,6341.09724766429
5,1725.27978582192,6330.70861204025
5,1724.80750831829,6326.74636955551
5,1715.92302097974,6319.82061247283
5,1715.4507434761,6315.8583699881
5,1697.681768799,6302.00685582269
5,1677.83193797078,6304.50367553966
5,1674.33424930876,6308.96528196776
5,1678.58474684145,6344.62546433035
5,1683.02699051073,6348.08834287171
5,1683.49926801436,6352.05058535645
5,1687.94151168363,6355.51346389781
5,1688.41378918727,6359.47570638255
5,1701.7405201951,6369.86434200659
5,1702.21279769873,6373.82658449133
5,1724.42401604511,6391.14097719805
5,1724.89629354874,6395.10321968278
5,1733.78078088729,6402.02897676546
5,1734.25305839092,6405.9912192502
5,1747.57978939875,6416.37985487424
5,1748.52434440601,6424.30433984371
5,1761.85107541384,6434.69297546775
5,1762.32335291747,6438.65521795249
5,1766.76559658675,6442.1180964938
5,1767.23787409038,6446.08033897854
5,1771.68011775966,6449.5432175199
5,1772.15239526329,6453.50546000464
5,1776.59463893256,6456.968338546
5,1777.0669164362,6460.93058103074
5,1781.50916010547,6464.39345957206
5,1764.02071679541,6486.70149171265
5,1760.05075062976,6487.20085565603
5,1732.06924133367,6522.893707081
5,1728.09927516802,6523.39307102438
5,1717.60620918198,6536.77789030876
5,1713.63624301634,6537.27725425213
5,1703.1431770303,6550.66207353651
5,1699.17321086466,6551.16143747988
5,1681.6847675546,6573.46946962048
5,1677.71480138895,6573.96883356385
5,1667.22173540291,6587.35365284823
5,1667.69401290655,6591.31589533297
8,1694.03486102746,5831.93275384489
8,1697.81308105652,5863.63069372279
8,1702.25532472579,5867.0935722641
8,1741.95498638223,5862.09993283027
8,1745.45267504425,5857.63832640211
8,1769.27247203811,5854.64214274182
8,1772.77016070012,5850.18053631371
8,1784.68005919706,5848.68244448355
8,1788.17774785907,5844.22083805544
8,1796.11768019035,5843.22211016864
8,1800.55992385963,5846.68498871001
8,1808.49985619092,5845.68626082321
8,1817.38434352947,5852.61201790589
8,1817.8566210331,5856.57426039062
8,1822.29886470238,5860.03713893199
8,1818.80117604037,5864.4987453601
8,1810.86124370908,5865.49747324689
8,1807.36355504707,5869.959079675
8,1803.39358888142,5870.45844361838
8,1799.89590021941,5874.92005004649
8,1795.92593405376,5875.41941398991
8,1792.42824539175,5879.88102041802
8,1784.48831306047,5880.87974830476
8,1780.99062439845,5885.34135473292
8,1773.05069206716,5886.34008261967
8,1769.55300340515,5890.80168904778
8,1753.67313874257,5892.79914482132
8,1750.17545008056,5897.26075124948
8,1746.20548391492,5897.76011519285
8,1742.7077952529,5902.22172162096
8,1743.18007275654,5906.1839641057
8,1739.68238409453,5910.64557053381
8,1742.04377161269,5930.45678295749
8,1746.48601528196,5933.91966149886
8,1747.43057028922,5941.84414646828
8,1751.8728139585,5945.30702500964
8,1754.23420147666,5965.11823743333
8,1758.67644514593,5968.58111597464
8,1759.14872264956,5972.54335845938
8,1763.59096631884,5976.00623700074
8,1764.06324382247,5979.96847948548
8,1768.03320998812,5979.46911554211
8,1772.47545365739,5982.93199408342
8,1784.38535215432,5981.4339022533
8,1788.8275958236,5984.89678079462
8,1820.58732514876,5980.90186924753
8,1827.58270247278,5971.97865639131
8,1824.27675994736,5944.24295899816
8,1819.83451627808,5940.78008045679
8,1803.9546516155,5942.77753623038
8,1795.07016427695,5935.85177914766
8,1794.12560926969,5927.92729417818
8,1797.6232979317,5923.46568775007
8,1805.56323026299,5922.46695986333
8,1809.060918925,5918.00535343517
8,1817.00085125629,5917.00662554842
8,1820.4985399183,5912.54501912031
8,1824.46850608395,5912.04565517689
8,1827.96619474596,5907.58404874878
8,1835.90612707725,5906.58532086203
8,1839.40381573926,5902.12371443387
8,1847.34374807055,5901.12498654713
8,1845.45463805602,5885.27601660818
8,1833.54473955909,5886.77410843835
8,1829.10249588982,5883.31122989699
8,1832.60018455182,5878.84962346888
