Region,X,Y
3,31,691
3,31,690
3,32,689
3,32,687
3,33,686
3,33,685
3,34,684
3,34,683
3,36,681
3,36,680
3,38,678
3,38,677
3,40,675
3,40,674
3,41,673
3,41,672
3,44,669
3,44,668
3,48,664
3,50,666
3,50,667
3,52,669
3,57,669
3,57,665
3,53,661
3,53,658
3,52,657
3,52,655
3,55,652
3,55,651
3,56,650
3,56,649
3,57,648
3,57,647
3,59,645
3,59,644
3,60,643
3,60,642
3,61,641
3,61,638
3,62,637
3,62,634
3,63,633
3,63,630
3,64,629
3,64,626
3,65,625
3,65,623
3,66,622
3,66,621
3,67,620
3,67,619
3,68,618
3,68,617
3,69,616
3,69,615
3,70,614
3,70,612
3,71,611
3,71,610
3,72,609
3,72,608
3,73,607
3,73,606
3,74,605
3,74,604
3,75,603
3,75,601
3,76,600
3,76,599
3,77,598
3,77,596
3,78,595
3,78,594
3,79,593
3,79,592
3,80,591
3,80,590
3,82,588
3,82,587
3,83,586
3,83,585
3,84,584
3,84,583
3,86,581
3,88,583
3,89,583
3,90,584
3,91,584
3,92,585
3,101,585
3,102,584
3,103,584
3,104,583
3,105,583
3,106,582
3,107,582
3,108,581
3,109,581
3,111,579
3,111,578
3,112,577
3,112,565
3,111,564
3,111,563
3,110,562
3,110,561
3,109,560
3,109,559
3,107,557
3,107,556
3,106,555
3,105,555
3,102,552
3,102,551
3,95,544
3,95,543
3,93,541
3,92,541
3,91,540
3,90,540
3,89,539
3,88,539
3,87,538
3,86,538
3,85,537
3,84,537
3,83,536
3,76,536
3,74,538
3,72,538
3,71,539
3,70,539
3,68,541
3,68,543
3,67,544
3,67,551
3,68,552
3,68,553
3,70,555
3,67,558
3,67,559
3,64,562
3,64,563
3,61,566
3,61,567
3,59,569
3,59,570
3,58,571
3,58,572
3,57,573
3,57,574
3,56,575
3,56,576
3,53,579
3,53,580
3,51,582
3,51,583
3,49,585
3,49,586
3,47,588
3,47,589
3,43,593
3,43,594
3,39,598
3,39,599
3,36,602
3,36,603
3,35,604
3,35,605
3,33,607
3,33,608
3,32,609
3,32,610
3,30,612
3,30,613
3,28,615
3,28,616
3,26,618
3,26,619
3,25,620
3,25,621
3,24,622
3,24,623
3,23,624
3,23,632
3,24,633
3,16,641
3,16,643
3,15,644
3,15,645
3,11,649
3,7,649
3,7,654
3,10,654
3,11,655
3,11,657
3,15,657
3,15,654
3,19,650
3,19,648
3,20,647
3,20,646
3,28,638
3,28,637
3,29,636
3,29,631
3,28,630
3,28,627
3,29,626
3,29,625
3,30,624
3,30,623
3,31,622
3,31,621
3,33,619
3,33,618
3,35,616
3,35,615
3,36,614
3,36,613
3,38,611
3,38,610
3,40,608
3,40,607
3,42,605
3,42,604
3,45,601
3,45,600
3,50,595
3,50,594
3,53,591
3,53,590
3,55,588
3,55,587
3,57,585
3,57,584
3,59,582
3,59,581
3,61,579
3,62,580
3,62,581
3,61,582
3,61,583
3,60,584
3,60,585
3,58,587
3,58,588
3,57,589
3,57,590
3,55,592
3,55,593
3,53,595
3,53,596
3,52,597
3,52,598
3,51,599
3,51,600
3,49,602
3,49,603
3,47,605
3,47,606
3,46,607
3,46,608
