Region,X,Y,ImageHeight,ImageWidth
5,0.296963039565824,324.137781733788,500,500
5,0.549555350677934,324.325159944631,500,500
5,0.791244702970928,326.254751493893,500,500
5,1.04383701408304,326.442129704736,500,500
5,1.55407009114654,330.515711864286,500,500
5,1.80666240225865,330.703090075132,500,500
5,2.10206049950609,333.061479746449,500,500
5,2.35465281061765,333.248857957294,500,500
5,2.4889246730029,334.320853262437,500,500
5,2.74151698411501,334.508231473282,500,500
5,2.983206336408,336.437823022542,500,500
5,2.78432277025034,336.679242933757,500,500
5,2.81117714272727,336.893641994783,500,500
5,2.61229357656961,337.135061905999,500,500
5,2.80027418390874,338.6358553332,500,500
5,3.05286649502084,338.823233544045,500,500
5,3.07972086749778,339.037632605074,500,500
5,3.58490548972144,339.412389026763,500,500
5,3.7191773521067,340.484384331908,500,500
5,3.97176966321881,340.671762542751,500,500
5,4.02547840817267,341.100560664809,500,500
5,4.53066303039634,341.475317086501,500,500
5,5.65935272357049,341.340212835577,500,500
5,5.85823628972815,341.098792924365,500,500
5,5.83138191725124,340.884393863336,500,500
5,6.22914904956714,340.401554040911,500,500
5,6.45488698820174,340.374533190724,500,500
5,6.70747929931385,340.56191140157,500,500
5,6.93321723794845,340.534890551386,500,500
5,7.18580954906056,340.722268762229,500,500
5,6.78804241674466,341.205108584657,500,500
5,6.92231427912991,342.277103889802,500,500
5,7.42749890135356,342.651860311491,500,500
5,7.87897477862334,342.597818611121,500,500
5,8.13156708973546,342.785196821967,500,500
5,8.35730502837006,342.758175971783,500,500
5,9.11508196170583,343.320310604317,500,500
5,9.14193633418276,343.534709665346,500,500
5,9.39452864529488,343.722087876189,500,500
5,9.42138301777182,343.936486937218,500,500
5,9.92656763999547,344.311243358909,500,500
5,11.5067332104394,344.122097407619,500,500
5,11.4798788379625,343.90769834659,500,500
5,11.6787624041201,343.666278435375,500,500
5,11.5713449142118,342.808682191261,500,500
5,11.3187526031003,342.621303980415,500,500
5,11.2650438581458,342.192505858357,500,500
5,11.0124515470343,342.005127647514,500,500
5,10.7976165672177,340.289935159281,500,500
5,10.5450242561061,340.102556948439,500,500
5,10.4913155111517,339.67375882638,500,500
5,10.6901990773099,339.432338915165,500,500
5,10.6633447048324,339.217939854136,500,500
5,10.8622282709907,338.976519942923,500,500
5,10.5936845462201,336.832529332635,500,500
5,10.367946607585,336.859550182818,500,500
5,10.1153542964734,336.672171971976,500,500
5,9.88961635783882,336.699192822159,500,500
5,9.63702404672671,336.511814611314,500,500
5,8.50833435355256,336.646918862237,500,500
5,8.255742042441,336.459540651391,500,500
5,7.35279028790144,336.567624052128,500,500
5,7.10019797678933,336.380245841283,500,500
5,6.87446003815472,336.407266691469,500,500
5,6.62186772704261,336.219888480624,500,500
5,6.59501335456568,336.005489419594,500,500
5,6.08982873234201,335.630732997906,500,500
5,6.06297435986453,335.416333936877,500,500
